file_name,dataset_name,split,has_target,bbox_area,target_size_bin,complexity_bin,mask_empty
irstd1k_000002.png,IRSTD_1k,test,1,148,medium,mid,0
irstd1k_000007.png,IRSTD_1k,test,1,170,medium,high,0
irstd1k_000008.png,IRSTD_1k,test,1,341,medium,mid,0
irstd1k_000027.png,IRSTD_1k,test,1,64,small,high,0
irstd1k_000028.png,IRSTD_1k,test,1,78,small,high,0
irstd1k_000034.png,IRSTD_1k,test,1,230,medium,high,0
irstd1k_000042.png,IRSTD_1k,test,1,35,tiny,mid,0
irstd1k_000047.png,IRSTD_1k,test,1,72,small,mid,0
irstd1k_000050.png,IRSTD_1k,test,1,48,small,high,0
irstd1k_000051.png,IRSTD_1k,test,1,132,medium,mid,0
irstd1k_000062.png,IRSTD_1k,test,1,32,tiny,mid,0
irstd1k_000063.png,IRSTD_1k,test,1,178,medium,high,0
irstd1k_000065.png,IRSTD_1k,test,1,724,medium,low,0
irstd1k_000066.png,IRSTD_1k,test,1,12,tiny,mid,0
irstd1k_000076.png,IRSTD_1k,test,1,840,medium,low,0
irstd1k_000078.png,IRSTD_1k,test,1,30,tiny,mid,0
irstd1k_000111.png,IRSTD_1k,test,1,327,medium,low,0
irstd1k_000121.png,IRSTD_1k,test,1,81,small,high,0
irstd1k_000122.png,IRSTD_1k,test,1,110,medium,low,0
irstd1k_000124.png,IRSTD_1k,test,1,9,tiny,mid,0
irstd1k_000125.png,IRSTD_1k,test,1,42,small,high,0
irstd1k_000127.png,IRSTD_1k,test,1,172,medium,high,0
irstd1k_000128.png,IRSTD_1k,test,1,120,medium,mid,0
irstd1k_000130.png,IRSTD_1k,test,1,276,medium,mid,0
irstd1k_000139.png,IRSTD_1k,test,1,48,small,high,0
irstd1k_000140.png,IRSTD_1k,test,1,220,medium,high,0
irstd1k_000141.png,IRSTD_1k,test,1,264,medium,high,0
irstd1k_000142.png,IRSTD_1k,test,1,8,tiny,high,0
irstd1k_000146.png,IRSTD_1k,test,1,64,small,mid,0
irstd1k_000175.png,IRSTD_1k,test,1,72,small,mid,0
irstd1k_000184.png,IRSTD_1k,test,1,120,medium,mid,0
irstd1k_000192.png,IRSTD_1k,test,1,595,medium,low,0
irstd1k_000195.png,IRSTD_1k,test,1,253,medium,low,0
irstd1k_000196.png,IRSTD_1k,test,1,117,medium,mid,0
irstd1k_000206.png,IRSTD_1k,test,1,88,small,low,0
irstd1k_000209.png,IRSTD_1k,test,1,49,small,low,0
irstd1k_000211.png,IRSTD_1k,test,1,327,medium,low,0
irstd1k_000214.png,IRSTD_1k,test,1,810,medium,low,0
irstd1k_000220.png,IRSTD_1k,test,1,115,medium,low,0
irstd1k_000235.png,IRSTD_1k,test,1,36,small,high,0
irstd1k_000239.png,IRSTD_1k,test,1,64,small,high,0
irstd1k_000242.png,IRSTD_1k,test,1,20,tiny,low,0
irstd1k_000246.png,IRSTD_1k,test,1,129,medium,low,0
irstd1k_000257.png,IRSTD_1k,test,1,50,small,high,0
irstd1k_000259.png,IRSTD_1k,test,1,148,medium,low,0
irstd1k_000274.png,IRSTD_1k,test,1,20,tiny,mid,0
irstd1k_000289.png,IRSTD_1k,test,1,270,medium,mid,0
irstd1k_000308.png,IRSTD_1k,test,1,136,medium,mid,0
irstd1k_000311.png,IRSTD_1k,test,1,196,medium,low,0
irstd1k_000315.png,IRSTD_1k,test,1,40,small,low,0
irstd1k_000332.png,IRSTD_1k,test,1,135,medium,mid,0
irstd1k_000341.png,IRSTD_1k,test,1,30,tiny,low,0
irstd1k_000356.png,IRSTD_1k,test,1,118,medium,low,0
irstd1k_000359.png,IRSTD_1k,test,1,20,tiny,high,0
irstd1k_000375.png,IRSTD_1k,test,1,60,small,mid,0
irstd1k_000376.png,IRSTD_1k,test,1,30,tiny,mid,0
irstd1k_000389.png,IRSTD_1k,test,1,132,medium,mid,0
irstd1k_000390.png,IRSTD_1k,test,1,42,small,mid,0
irstd1k_000391.png,IRSTD_1k,test,1,25,tiny,mid,0
irstd1k_000394.png,IRSTD_1k,test,1,86,small,low,0
irstd1k_000395.png,IRSTD_1k,test,1,64,small,low,0
irstd1k_000401.png,IRSTD_1k,test,1,56,small,low,0
irstd1k_000409.png,IRSTD_1k,test,1,40,small,low,0
irstd1k_000419.png,IRSTD_1k,test,1,15,tiny,high,0
irstd1k_000426.png,IRSTD_1k,test,1,88,small,mid,0
irstd1k_000427.png,IRSTD_1k,test,1,20,tiny,low,0
irstd1k_000435.png,IRSTD_1k,test,1,190,medium,mid,0
irstd1k_000436.png,IRSTD_1k,test,1,110,medium,mid,0
irstd1k_000437.png,IRSTD_1k,test,1,40,small,high,0
irstd1k_000470.png,IRSTD_1k,test,1,121,medium,high,0
irstd1k_000479.png,IRSTD_1k,test,1,63,small,high,0
irstd1k_000487.png,IRSTD_1k,test,1,99,medium,low,0
irstd1k_000493.png,IRSTD_1k,test,1,51,small,low,0
irstd1k_000494.png,IRSTD_1k,test,1,40,small,low,0
irstd1k_000495.png,IRSTD_1k,test,1,137,medium,mid,0
irstd1k_000498.png,IRSTD_1k,test,1,53,small,low,0
irstd1k_000504.png,IRSTD_1k,test,1,27,tiny,high,0
irstd1k_000505.png,IRSTD_1k,test,1,128,medium,mid,0
irstd1k_000507.png,IRSTD_1k,test,1,45,small,high,0
irstd1k_000532.png,IRSTD_1k,test,1,320,medium,high,0
irstd1k_000533.png,IRSTD_1k,test,1,172,medium,mid,0
irstd1k_000545.png,IRSTD_1k,test,1,94,medium,mid,0
irstd1k_000562.png,IRSTD_1k,test,1,81,small,mid,0
irstd1k_000572.png,IRSTD_1k,test,1,25,tiny,low,0
irstd1k_000574.png,IRSTD_1k,test,1,80,small,high,0
irstd1k_000578.png,IRSTD_1k,test,1,67,small,mid,0
irstd1k_000579.png,IRSTD_1k,test,1,63,small,high,0
irstd1k_000583.png,IRSTD_1k,test,1,40,small,mid,0
irstd1k_000588.png,IRSTD_1k,test,1,88,small,mid,0
irstd1k_000604.png,IRSTD_1k,test,1,49,small,high,0
irstd1k_000611.png,IRSTD_1k,test,1,40,small,low,0
irstd1k_000614.png,IRSTD_1k,test,1,660,medium,mid,0
irstd1k_000626.png,IRSTD_1k,test,1,49,small,mid,0
irstd1k_000639.png,IRSTD_1k,test,1,60,small,mid,0
irstd1k_000642.png,IRSTD_1k,test,1,440,medium,mid,0
irstd1k_000652.png,IRSTD_1k,test,1,40,small,high,0
irstd1k_000653.png,IRSTD_1k,test,1,25,tiny,high,0
irstd1k_000659.png,IRSTD_1k,test,1,86,small,low,0
irstd1k_000664.png,IRSTD_1k,test,1,108,medium,mid,0
irstd1k_000672.png,IRSTD_1k,test,1,30,tiny,high,0
irstd1k_000676.png,IRSTD_1k,test,1,154,medium,low,0
irstd1k_000682.png,IRSTD_1k,test,1,533,medium,high,0
irstd1k_000685.png,IRSTD_1k,test,1,24,tiny,high,0
irstd1k_000693.png,IRSTD_1k,test,1,372,medium,high,0
irstd1k_000696.png,IRSTD_1k,test,1,15,tiny,mid,0
irstd1k_000705.png,IRSTD_1k,test,1,30,tiny,high,0
irstd1k_000710.png,IRSTD_1k,test,1,147,medium,low,0
irstd1k_000713.png,IRSTD_1k,test,1,102,medium,high,0
irstd1k_000716.png,IRSTD_1k,test,1,9,tiny,high,0
irstd1k_000718.png,IRSTD_1k,test,1,90,small,high,0
irstd1k_000723.png,IRSTD_1k,test,1,41,small,mid,0
irstd1k_000732.png,IRSTD_1k,test,1,133,medium,high,0
irstd1k_000742.png,IRSTD_1k,test,1,432,medium,mid,0
irstd1k_000756.png,IRSTD_1k,test,1,6,tiny,low,0
irstd1k_000761.png,IRSTD_1k,test,1,48,small,mid,0
irstd1k_000791.png,IRSTD_1k,test,1,60,small,low,0
irstd1k_000793.png,IRSTD_1k,test,1,60,small,mid,0
irstd1k_000794.png,IRSTD_1k,test,1,55,small,low,0
irstd1k_000798.png,IRSTD_1k,test,1,16,tiny,high,0
irstd1k_000817.png,IRSTD_1k,test,1,9,tiny,high,0
irstd1k_000818.png,IRSTD_1k,test,1,112,medium,mid,0
irstd1k_000822.png,IRSTD_1k,test,1,9,tiny,low,0
irstd1k_000832.png,IRSTD_1k,test,1,35,tiny,mid,0
irstd1k_000838.png,IRSTD_1k,test,1,80,small,low,0
irstd1k_000839.png,IRSTD_1k,test,1,12,tiny,high,0
irstd1k_000847.png,IRSTD_1k,test,1,261,medium,mid,0
irstd1k_000848.png,IRSTD_1k,test,1,48,small,low,0
irstd1k_000866.png,IRSTD_1k,test,1,168,medium,low,0
irstd1k_000881.png,IRSTD_1k,test,1,45,small,high,0
irstd1k_000885.png,IRSTD_1k,test,1,195,medium,high,0
irstd1k_000889.png,IRSTD_1k,test,1,30,tiny,mid,0
irstd1k_000896.png,IRSTD_1k,test,1,20,tiny,high,0
irstd1k_000903.png,IRSTD_1k,test,1,135,medium,high,0
irstd1k_000905.png,IRSTD_1k,test,1,108,medium,mid,0
irstd1k_000908.png,IRSTD_1k,test,1,58,small,high,0
irstd1k_000921.png,IRSTD_1k,test,1,6,tiny,low,0
irstd1k_000922.png,IRSTD_1k,test,1,72,small,mid,0
irstd1k_000923.png,IRSTD_1k,test,1,28,tiny,mid,0
irstd1k_000940.png,IRSTD_1k,test,1,48,small,high,0
irstd1k_000942.png,IRSTD_1k,test,1,9,tiny,high,0
irstd1k_000947.png,IRSTD_1k,test,1,277,medium,mid,0
irstd1k_000950.png,IRSTD_1k,test,1,35,tiny,high,0
irstd1k_000956.png,IRSTD_1k,test,1,18,tiny,high,0
irstd1k_000966.png,IRSTD_1k,test,1,12,tiny,mid,0
irstd1k_000967.png,IRSTD_1k,test,1,40,small,mid,0
irstd1k_000969.png,IRSTD_1k,test,1,49,small,mid,0
irstd1k_000975.png,IRSTD_1k,test,1,24,tiny,high,0
irstd1k_000982.png,IRSTD_1k,test,1,253,medium,mid,0
irstd1k_000988.png,IRSTD_1k,test,1,120,medium,high,0
irstd1k_000990.png,IRSTD_1k,test,1,25,tiny,low,0
irstd1k_000995.png,IRSTD_1k,test,1,280,medium,mid,0
